Iteration,A,R,sdvig,polojenie
696,2.5,10.5,60,47.5
697,2.5,10.5,60,50.0
698,2.5,10.5,70,-50.0
699,2.5,10.5,70,-47.5
700,2.5,10.5,70,-45.0
701,2.5,10.5,70,-42.5
702,2.5,10.5,70,-40.0
703,2.5,10.5,70,-37.5
704,2.5,10.5,70,-35.0
705,2.5,10.5,70,-32.5
706,2.5,10.5,70,-30.0
707,2.5,10.5,70,-27.5
708,2.5,10.5,70,-25.0
709,2.5,10.5,70,-22.5
710,2.5,10.5,70,-20.0
711,2.5,10.5,70,-17.5
712,2.5,10.5,70,-15.0
713,2.5,10.5,70,-12.5
714,2.5,10.5,70,-10.0
715,2.5,10.5,70,-7.5
716,2.5,10.5,70,-5.0
717,2.5,10.5,70,-2.5
718,2.5,10.5,70,0.0
719,2.5,10.5,70,2.5
720,2.5,10.5,70,5.0
721,2.5,10.5,70,7.5
722,2.5,10.5,70,10.0
723,2.5,10.5,70,12.5
724,2.5,10.5,70,15.0
725,2.5,10.5,70,17.5
726,2.5,10.5,70,20.0
727,2.5,10.5,70,22.5
728,2.5,10.5,70,25.0
729,2.5,10.5,70,27.5
730,2.5,10.5,70,30.0
731,2.5,10.5,70,32.5
732,2.5,10.5,70,35.0
733,2.5,10.5,70,37.5
734,2.5,10.5,70,40.0
735,2.5,10.5,70,42.5
736,2.5,10.5,70,45.0
737,2.5,10.5,70,47.5
738,2.5,10.5,70,50.0
739,2.5,10.5,80,-50.0
740,2.5,10.5,80,-47.5
741,2.5,10.5,80,-45.0
742,2.5,10.5,80,-42.5
743,2.5,10.5,80,-40.0
744,2.5,10.5,80,-37.5
745,2.5,10.5,80,-35.0
746,2.5,10.5,80,-32.5
747,2.5,10.5,80,-30.0
748,2.5,10.5,80,-27.5
749,2.5,10.5,80,-25.0
750,2.5,10.5,80,-22.5
751,2.5,10.5,80,-20.0
752,2.5,10.5,80,-17.5
753,2.5,10.5,80,-15.0
754,2.5,10.5,80,-12.5
755,2.5,10.5,80,-10.0
756,2.5,10.5,80,-7.5
757,2.5,10.5,80,-5.0
758,2.5,10.5,80,-2.5
759,2.5,10.5,80,0.0
760,2.5,10.5,80,2.5
761,2.5,10.5,80,5.0
762,2.5,10.5,80,7.5
763,2.5,10.5,80,10.0
764,2.5,10.5,80,12.5
765,2.5,10.5,80,15.0
766,2.5,10.5,80,17.5
767,2.5,10.5,80,20.0
768,2.5,10.5,80,22.5
769,2.5,10.5,80,25.0
770,2.5,10.5,80,27.5
771,2.5,10.5,80,30.0
772,2.5,10.5,80,32.5
773,2.5,10.5,80,35.0
774,2.5,10.5,80,37.5
775,2.5,10.5,80,40.0
776,2.5,10.5,80,42.5
777,2.5,10.5,80,45.0
778,2.5,10.5,80,47.5
779,2.5,10.5,80,50.0
780,2.5,10.5,90,-50.0
781,2.5,10.5,90,-47.5
782,2.5,10.5,90,-45.0
783,2.5,10.5,90,-42.5
784,2.5,10.5,90,-40.0
785,2.5,10.5,90,-37.5
786,2.5,10.5,90,-35.0
787,2.5,10.5,90,-32.5
788,2.5,10.5,90,-30.0
789,2.5,10.5,90,-27.5
790,2.5,10.5,90,-25.0
791,2.5,10.5,90,-22.5
792,2.5,10.5,90,-20.0
793,2.5,10.5,90,-17.5
794,2.5,10.5,90,-15.0
795,2.5,10.5,90,-12.5
796,2.5,10.5,90,-10.0
797,2.5,10.5,90,-7.5
798,2.5,10.5,90,-5.0
799,2.5,10.5,90,-2.5
800,2.5,10.5,90,0.0
801,2.5,10.5,90,2.5
802,2.5,10.5,90,5.0
803,2.5,10.5,90,7.5
804,2.5,10.5,90,10.0
805,2.5,10.5,90,12.5
806,2.5,10.5,90,15.0
807,2.5,10.5,90,17.5
808,2.5,10.5,90,20.0
809,2.5,10.5,90,22.5
810,2.5,10.5,90,25.0
811,2.5,10.5,90,27.5
812,2.5,10.5,90,30.0
813,2.5,10.5,90,32.5
814,2.5,10.5,90,35.0
815,2.5,10.5,90,37.5
816,2.5,10.5,90,40.0
817,2.5,10.5,90,42.5
818,2.5,10.5,90,45.0
819,2.5,10.5,90,47.5
820,2.5,10.5,90,50.0
821,2.5,10.5,100,-50.0
822,2.5,10.5,100,-47.5
823,2.5,10.5,100,-45.0
824,2.5,10.5,100,-42.5
825,2.5,10.5,100,-40.0
826,2.5,10.5,100,-37.5
827,2.5,10.5,100,-35.0
828,2.5,10.5,100,-32.5
829,2.5,10.5,100,-30.0
830,2.5,10.5,100,-27.5
831,2.5,10.5,100,-25.0
832,2.5,10.5,100,-22.5
833,2.5,10.5,100,-20.0
834,2.5,10.5,100,-17.5
835,2.5,10.5,100,-15.0
